Recency,Frequency,MonetaryValue,Length
31,1,6180000,1886
1,1,6369000,1856
19,1,10560000,1874
23,1,10670000,1878
88,1,1221000,1944
20,1,3640000,1875
70,1,1760000,1925
40,1,10010000,1895
23,1,1210000,1879
24,1,11055000,1879
30,1,6120000,1885
23,1,10890000,1878
22,1,6240000,1877
29,1,4030000,1884
37,1,450000,1892
18,1,10560000,1873
19,1,11605000,1874
27,1,11605000,1882
65,1,858000,1921
31,1,10780000,1886
81,1,1210000,1936
6,9,8233000,1915
19,1,11110000,1874
42,5,4468600,1941
65,1,935000,1920
32,1,4200000,1887
54,2,793500,1910
41,2,13640000,1903
22,1,11440000,1877
20,1,6120000,1875
18,1,4810000,1873
23,1,1210000,1878
60,1,836000,1916
29,1,6720000,1884
47,1,12600000,1902
20,1,1265000,1875
34,1,12969000,1889
69,1,814000,1924
34,9,8669600,1922
24,1,11550000,1879
31,1,11055000,1886
16,1,480000,1871
82,1,434850,1937
29,1,572000,1885
20,1,13750000,1875
30,1,6072000,1885
36,1,4030000,1891
18,1,3780000,1873
58,3,4128000,1928
80,1,968000,1936
88,1,11660000,1943
19,4,34450000,1934
23,1,11440000,1878
19,1,4030000,1874
81,1,12210000,1936
85,1,432000,1940
36,1,4030000,1891
24,1,1265000,1880
30,1,4680000,1885
18,1,4225000,1873
24,1,16170000,1879
59,1,598000,1914
22,1,870000,1878
9,4,66330000,1895
20,1,11220000,1875
72,2,1516000,1936
20,1,10615000,1875
29,1,6072000,1884
47,1,110429000,1902
19,1,11660000,1874
65,3,957000,1920
32,1,6240000,1887
65,1,487500,1920
24,1,10560000,1879
29,1,732000,1885
46,1,10010000,1901
25,1,3000000,1880
24,1,11220000,1879
20,1,5460000,1875
20,1,2560000,1875
79,1,759000,1934
18,1,4680000,1873
57,1,617500,1912
29,1,11000000,1884
62,1,754050,1917
27,1,10780000,1882
40,1,10340000,1895
25,1,1232000,1881
32,1,4277000,1887
75,1,715000,1930
37,1,11605000,1892
24,1,11055000,1879
24,1,10560000,1879
22,1,10560000,1877
26,1,1218800,1882
81,1,825000,1936
24,1,4030000,1879
62,2,946000,1918
18,1,13585000,1873
20,1,10175000,1875
23,1,1210000,1879
55,2,1991600,1913
18,1,6120000,1873
19,1,6120000,1874
39,1,1020000,1894
74,1,504000,1929
88,1,490000,1944
14,3,2872000,1877
30,1,572000,1885
81,1,1210000,1936
60,1,379500,1915
62,1,1210000,1917
42,1,513500,1897
19,1,5005000,1874
58,1,2858900,1913
77,1,770000,1933
45,1,10010000,1900
2,2,17765000,1935
20,1,4550000,1875
26,1,11055000,1881
19,1,4680000,1874
19,1,2200000,1874
76,1,880000,1931
22,1,1210000,1878
74,2,1195000,1935
6,1,696000,1861
73,2,1672000,1929
25,1,11440000,1880
86,1,1133000,1941
2,2,18150000,1879
83,1,853600,1938
23,1,3780000,1878
80,1,1210000,1935
70,1,1265000,1925
78,2,1224000,1934
29,1,11055000,1884
18,1,3640000,1873
18,1,6120000,1873
22,1,3640000,1877
33,1,11000000,1888
80,1,585000,1935
76,2,561352,1931
6,5,4435700,1912
30,1,6120000,1885
27,1,5880000,1882
25,1,6720000,1880
23,1,14399000,1878
31,1,6240000,1886
67,4,2002600,1932
18,1,6480000,1873
25,1,565500,1881
18,1,6720000,1873
20,1,12760000,1875
27,1,1232000,1882
60,1,715000,1915
80,1,744000,1935
46,1,4030000,1901
21,1,1210000,1877
80,3,877173,1935
67,1,753500,1922
25,1,2560000,1880
23,1,10010000,1878
46,1,10010000,1901
30,1,1210000,1886
40,1,1003200,1896
2,3,50050000,1934
32,1,11000000,1887
32,1,15720000,1887
38,1,6360000,1893
22,1,11099000,1877
37,1,6180000,1892
24,2,10307000,1879
23,1,11099000,1878
22,1,6120000,1877
37,1,3225000,1892
5,2,2128500,1938
36,1,732000,1891
33,1,4680000,1888
80,1,757900,1936
40,4,4034030,1925
48,1,47399000,1904
30,1,12969000,1885
38,1,11605000,1893
41,1,1003200,1896
20,1,3920000,1875
18,1,6120000,1873
16,1,1595000,1871
37,1,10010000,1892
35,1,1430000,1890
43,2,1795700,1899
78,5,3853520,1938
79,1,588744,1935
80,1,780000,1935
19,1,11099000,1874
80,1,585000,1935
27,1,6060000,1882
21,1,1210000,1877
24,1,2560000,1879
19,1,6120000,1874
23,1,10010000,1878
79,1,585000,1934
24,1,11099000,1879
30,1,6480000,1885
27,1,6240000,1882
27,1,6000000,1882
24,1,6072000,1879
19,1,6120000,1874
1,2,12738000,1863
22,1,10010000,1877
73,13,7050000,1939
27,1,3150000,1882
25,1,1232000,1880
60,1,2079000,1915
18,1,3640000,1873
19,1,11605000,1874
22,1,6240000,1877
28,1,660000,1883
77,8,7320000,1943
30,1,11000000,1885
18,1,6180000,1873
24,1,11000000,1879
29,1,4680000,1884
37,1,6120000,1892
72,6,2327100,1932
20,1,10560000,1875
76,1,1210000,1932
68,3,2530000,1923
30,1,10780000,1885
27,1,4810000,1882
68,1,2288000,1923
85,1,558800,1940
73,1,724339,1929
75,2,1819400,1934
88,1,490000,1943
12,1,7260000,1867
27,1,11000000,1882
23,1,4485000,1878
20,1,10560000,1875
86,2,847000,1941
20,1,3640000,1875
23,1,15510000,1878
1,4,4675500,1861
4,3,4273500,1932
27,1,1232000,1882
17,3,2326000,1900
25,1,10285000,1880
52,1,1199000,1907
18,1,6120000,1873
22,1,11055000,1877
26,1,4030000,1881
65,1,1705352,1920
77,1,492000,1933
24,1,565500,1880
50,1,1375000,1906
66,3,2161500,1931
11,2,1582150,1886
2,2,13024000,1886
25,1,2560000,1880
29,1,3000000,1884
78,1,315000,1934
4,1,988900,1859
77,1,780000,1932
18,1,7020000,1873
39,1,1210000,1894
23,1,4810000,1878
23,1,1210000,1879
20,1,10890000,1875
40,1,51150000,1895
2,2,18700000,1941
64,1,845000,1920
66,3,1270000,1921
43,1,11000000,1898
84,1,825000,1940
68,1,814000,1923
22,1,11440000,1877
48,1,10835000,1903
66,2,1663200,1924
88,2,986000,1943
61,6,1742000,1917
